Sales_ID,Sales_Date,Customer_Name,Gender,Country,Category,Product,Quantity,Unit_Price,Payment method
S10056,2025-04-01,Grace Musa,Female,United Kingdom,Clothing,Jacket,10,70000,Bank Transfer
S10057,2025-05-20,Samuel Obi,Male,Ghana,Electronics,Smartphone,1,280000,Cash
S10058,2025-10-29,Joy Emmanuel,Female,United States,Clothing,Jacket,10,70000,Card
S10059,2025-02-07,Samuel Obi,Male,United States,Furniture,Table,1,120000,Cash
S10060,2025-02-10,Hauwa Sule,Female,Nigeria,Furniture,Desk,9,150000,Card
S10061,2025-11-28,Joy Emmanuel,Female,South Africa,Electronics,Headphones,10,45000,Mobile Money
S10062,2025-11-10,Joy Emmanuel,Female,Ghana,Furniture,Desk,5,150000,Mobile Money
S10063,2025-10-15,Grace Musa,Female,Ghana,Clothing,Sneakers,5,55000,Bank Transfer
S10064,2025-09-15,Mary Johnson,Male,South Africa,Groceries,Rice,3,85000,Card
S10065,2025-08-03,Blessing Okafor,Female,South Africa,Electronics,Headphones,1,45000,Card
S10066,2025-02-04,Ruth Adams,Female,South Africa,Furniture,Table,1,120000,Bank Transfer
S10067,2025-09-09,Victor Chukwu,Male,South Africa,Groceries,Cereal,4,9500,Bank Transfer
S10068,2025-04-28,Sarah Ahmed,Female,United States,Furniture,Table,7,120000,Card
S10069,2025-04-22,Sarah Ahmed,Male,Nigeria,Furniture,Desk,7,150000,Card
S10070,2025-01-19,Fatima Ibrahim,Female,Kenya,Furniture,Desk,4,150000,Mobile Money
S10071,2025-03-01,Fatima Ibrahim,Female,Kenya,Groceries,Sugar,2,18000,Mobile Money
S10072,2025-06-05,Samuel Obi,Male,United States,Electronics,Laptop,1,450000,Cash
S10073,2025-10-29,Emeka Nwosu,Male,Ghana,Clothing,Jeans,3,28000,Mobile Money
S10074,2025-11-19,Fatima Ibrahim,Female,Ghana,Electronics,Smartphone,10,280000,Cash
S10075,2025-09-17,Ruth Adams,Male,Kenya,Clothing,Sneakers,10,55000,Mobile Money
S10076,2025-12-06,Ruth Adams,Male,Nigeria,Furniture,Desk,5,150000,Cash
S10077,2025-02-16,Peter Osei,Female,Nigeria,Electronics,Tablet,9,180000,Bank Transfer
S10078,2025-10-03,Daniel Adeyemi,Female,Kenya,Electronics,Headphones,8,45000,Card
S10079,2025-01-15,Fatima Ibrahim,Female,South Africa,Furniture,Desk,7,150000,Bank Transfer
S10080,2025-10-27,Fatima Ibrahim,Female,Ghana,Groceries,Cooking Oil,8,32000,Mobile Money
S10081,2025-11-17,Blessing Okafor,Male,South Africa,Groceries,Rice,4,85000,Bank Transfer
S10082,2025-03-03,Emeka Nwosu,Female,United Kingdom,Groceries,Sugar,1,18000,Card
S10083,2025-11-09,Anthony Brown,Male,United States,Electronics,Smartphone,8,280000,Mobile Money
S10084,2025-03-08,Michael James,Male,South Africa,Furniture,Office Chair,4,95000,Bank Transfer
S10085,2025-06-22,John Williams,Female,United States,Groceries,Cereal,9,9500,Bank Transfer
S10086,2025-08-20,Michael James,Female,Ghana,Groceries,Cereal,2,9500,Card
S10087,2025-01-08,Esther Eze,Male,United States,Groceries,Rice,8,85000,Bank Transfer
S10088,2025-03-08,Michael James,Male,Kenya,Groceries,Rice,3,85000,Bank Transfer
S10089,2025-01-15,David Okoro,Male,United Kingdom,Electronics,Smartphone,5,280000,Card
S10090,2025-01-03,Ruth Adams,Female,South Africa,Furniture,Office Chair,8,95000,Mobile Money
S10091,2025-11-18,Fatima Ibrahim,Female,Nigeria,Groceries,Cooking Oil,2,32000,Mobile Money
S10092,2025-06-21,Mary Johnson,Male,United Kingdom,Furniture,Office Chair,5,95000,Cash
S10093,2025-11-21,Emeka Nwosu,Male,United Kingdom,Clothing,T-Shirt,7,12000,Mobile Money
S10094,2025-07-10,Michael James,Male,United Kingdom,Furniture,Bookshelf,2,85000,Card
S10095,2025-09-20,Ibrahim Yusuf,Male,Ghana,Clothing,Sneakers,9,55000,Cash
S10096,2025-05-27,Joy Emmanuel,Female,Kenya,Clothing,T-Shirt,1,12000,Card
S10097,2025-09-14,Grace Musa,Male,Kenya,Groceries,Sugar,10,18000,Card
S10098,2025-07-16,Mary Johnson,Female,Ghana,Furniture,Office Chair,2,95000,Cash
S10099,2025-09-04,Joy Emmanuel,Male,South Africa,Clothing,Sneakers,5,55000,Mobile Money
S10100,2025-08-25,Grace Musa,Male,South Africa,Groceries,Cereal,6,9500,Bank Transfer
S10101,2025-04-16,Ruth Adams,Male,United States,Electronics,Laptop,5,450000,Cash
S10102,2025-07-14,Joy Emmanuel,Female,Ghana,Clothing,Jacket,10,70000,Mobile Money
S10103,2025-08-25,John Williams,Female,Kenya,Furniture,Office Chair,6,95000,Cash
S10104,2025-04-06,Anthony Brown,Female,United States,Clothing,Sneakers,7,55000,Cash
S10105,2025-09-02,Fatima Ibrahim,Female,Nigeria,Furniture,Office Chair,7,95000,Cash
S10106,2025-05-18,Esther Eze,Female,United Kingdom,Furniture,Table,8,120000,Mobile Money
S10107,2025-05-04,Victor Chukwu,Male,Kenya,Electronics,Smartphone,8,280000,Mobile Money
S10108,2025-11-07,Ibrahim Yusuf,Female,United Kingdom,Electronics,Laptop,1,450000,Mobile Money
S10109,2025-01-13,Joy Emmanuel,Male,United States,Electronics,Smartphone,3,280000,Mobile Money
S10110,2025-09-04,Anthony Brown,Female,Ghana,Groceries,Sugar,8,18000,Card
S10111,2025-12-25,Mary Johnson,Male,Kenya,Furniture,Desk,7,150000,Bank Transfer
S10112,2025-05-14,Michael James,Female,Ghana,Groceries,Rice,8,85000,Mobile Money
S10113,2025-11-24,Joy Emmanuel,Female,Ghana,Groceries,Sugar,4,18000,Mobile Money
S10114,2025-12-08,Blessing Okafor,Female,United States,Clothing,Jacket,7,70000,Mobile Money
S10115,2025-10-29,Mary Johnson,Female,Nigeria,Clothing,Jacket,8,70000,Cash
S10116,2025-10-13,Peter Osei,Male,Nigeria,Furniture,Office Chair,8,95000,Bank Transfer
S10117,2025-03-20,Blessing Okafor,Female,Kenya,Groceries,Cereal,8,9500,Cash
S10118,2025-04-20,Samuel Obi,Male,South Africa,Electronics,Smartphone,2,280000,Cash
S10119,2025-07-05,Aisha Bello,Male,Kenya,Furniture,Desk,1,150000,Bank Transfer
S10120,2025-12-05,Mary Johnson,Male,United Kingdom,Groceries,Sugar,7,18000,Card
S10121,2025-12-05,Emeka Nwosu,Female,United Kingdom,Clothing,Jeans,4,28000,Mobile Money
S10122,2025-04-29,Fatima Ibrahim,Female,Kenya,Clothing,Jeans,1,28000,Mobile Money
S10123,2025-02-19,Joy Emmanuel,Female,United Kingdom,Groceries,Cooking Oil,5,32000,Mobile Money
S10124,2025-02-16,Esther Eze,Female,South Africa,Groceries,Cereal,2,9500,Card
S10125,2025-06-09,Michael James,Male,United States,Furniture,Bookshelf,7,85000,Bank Transfer
S10126,2025-09-12,Michael James,Male,United Kingdom,Electronics,Laptop,,450000,Card
S10127,2025-08-08,Daniel Adeyemi,Male,Kenya,Clothing,Sneakers,8,55000,Cash
S10128,2025-03-13,Michael James,Female,United States,Groceries,Cooking Oil,7,32000,Card
S10129,2025-12-08,Hauwa Sule,Female,Ghana,Clothing,Jeans,5,28000,Mobile Money
S10130,2025-05-11,Joy Emmanuel,Male,Ghana,Groceries,Sugar,4,18000,Mobile Money
S10131,2025-08-16,Aisha Bello,Female,United Kingdom,Groceries,Rice,2,85000,Mobile Money
S10132,2025-03-11,John Williams,Male,United States,Groceries,Sugar,4,18000,Mobile Money
S10133,2025-05-09,Grace Musa,Female,United States,Electronics,Tablet,5,180000,Mobile Money
S10134,2025-12-30,David Okoro,Female,South Africa,Electronics,Smartphone,,280000,Cash
S10135,2025-11-07,Joy Emmanuel,Female,United States,Clothing,Jeans,9,28000,Mobile Money
S10136,2025-08-08,Anthony Brown,Female,Kenya,Clothing,Jacket,1,70000,Bank Transfer
S10137,2025-05-19,Samuel Obi,Female,Nigeria,Clothing,Jacket,6,70000,Bank Transfer
S10138,2025-07-02,Esther Eze,Male,South Africa,Electronics,Headphones,2,45000,Card
S10139,2025-05-04,Samuel Obi,Male,United Kingdom,Electronics,Laptop,4,450000,Cash
S10140,2025-10-21,Blessing Okafor,Male,United Kingdom,Clothing,Jeans,1,28000,Bank Transfer
S10141,2025-09-28,Ibrahim Yusuf,Male,United States,Clothing,Jeans,1,28000,Card
S10142,2025-07-30,Ruth Adams,Female,Nigeria,Electronics,Tablet,3,180000,Bank Transfer
S10143,2025-12-01,Hauwa Sule,Male,United States,Electronics,Smartphone,2,280000,Mobile Money
S10144,2025-09-24,Ruth Adams,Male,South Africa,Furniture,Bookshelf,9,85000,Card
S10145,2025-01-14,Aisha Bello,Male,South Africa,Electronics,Tablet,7,180000,Mobile Money
S10146,2025-04-12,Grace Musa,Male,Kenya,Electronics,Headphones,10,45000,Card
S10147,2025-08-26,Emeka Nwosu,Female,South Africa,Electronics,Smartphone,10,280000,Bank Transfer
S10148,2025-03-13,Daniel Adeyemi,Male,South Africa,Furniture,Table,8,120000,Card
S10149,2025-12-01,Sarah Ahmed,Female,United States,Furniture,Bookshelf,2,85000,Bank Transfer
S10150,2025-05-29,John Williams,Male,United States,Furniture,Bookshelf,8,85000,Cash
S10151,2025-03-29,Peter Osei,Male,United States,Electronics,Laptop,6,450000,Card
S10152,2025-03-19,Peter Osei,Female,United States,Electronics,Tablet,7,180000,Cash
S10153,2025-07-21,Daniel Adeyemi,Male,Ghana,Groceries,Sugar,8,18000,Card
S10154,2025-10-30,Daniel Adeyemi,Female,United Kingdom,Electronics,Tablet,4,180000,Mobile Money
S10155,2025-06-05,Ibrahim Yusuf,Female,United States,Electronics,Tablet,5,180000,Bank Transfer
S10156,2025-04-16,Mary Johnson,Female,Nigeria,Groceries,Rice,3,85000,Cash
S10157,2025-05-12,Peter Osei,Female,Kenya,Electronics,Smartphone,3,280000,Bank Transfer
S10158,2025-07-03,David Okoro,Male,Ghana,Groceries,Sugar,10,18000,Cash
S10159,2025-10-26,Peter Osei,Female,United Kingdom,Electronics,Tablet,8,180000,Mobile Money
S10160,2025-04-10,Daniel Adeyemi,Female,South Africa,Groceries,Cooking Oil,2,32000,Bank Transfer
S10161,2025-11-10,Samuel Obi,Female,United Kingdom,Furniture,Bookshelf,1,85000,Cash
S10162,2025-07-19,Mary Johnson,Female,Kenya,Clothing,Sneakers,6,55000,Cash
S10163,2025-05-11,Ibrahim Yusuf,Male,South Africa,Electronics,Headphones,9,45000,Card
S10164,2025-12-17,David Okoro,Female,Nigeria,Groceries,Rice,8,85000,Cash
S10165,2025-05-30,Peter Osei,Female,Nigeria,Groceries,Cereal,7,9500,Cash
S10166,2025-05-19,John Williams,Male,South Africa,Groceries,Cooking Oil,2,32000,Card
S10167,2025-04-09,Grace Musa,Female,Kenya,Furniture,Table,6,120000,Card
S10168,2025-02-22,Hauwa Sule,Male,United Kingdom,Groceries,Cooking Oil,9,32000,Card
S10169,2025-02-22,Samuel Obi,Male,Ghana,Groceries,Sugar,5,18000,Card
S10170,2025-04-26,Ibrahim Yusuf,Female,South Africa,Clothing,Jeans,10,28000,Mobile Money
S10171,2025-05-10,Joy Emmanuel,Male,South Africa,Groceries,Sugar,8,18000,Bank Transfer
S10172,2025-07-30,Hauwa Sule,Male,Kenya,Groceries,Rice,8,85000,Mobile Money
S10173,2025-02-14,Michael James,Male,United States,Electronics,Laptop,2,450000,Mobile Money
S10174,2025-01-08,Ruth Adams,Male,Kenya,Furniture,Office Chair,10,95000,Mobile Money
S10175,2025-08-27,Daniel Adeyemi,Female,United States,Clothing,T-Shirt,2,12000,Card
S10176,2025-01-21,Joy Emmanuel,Male,Kenya,Electronics,Smartphone,6,280000,Bank Transfer
S10177,2025-03-13,Emeka Nwosu,Male,United States,Furniture,Table,6,120000,Cash
S10178,2025-01-07,Michael James,Female,United States,Groceries,Rice,10,85000,Card
S10179,2025-07-26,John Williams,Female,United States,Groceries,Rice,7,85000,Card
S10180,2025-12-08,Blessing Okafor,Male,United States,Electronics,Tablet,9,180000,Cash
S10181,2025-10-26,John Williams,Female,Ghana,Furniture,Bookshelf,4,85000,Bank Transfer
S10182,2025-04-19,Mary Johnson,Male,Nigeria,Furniture,Desk,5,150000,Cash
S10183,2025-06-08,Emeka Nwosu,Female,Ghana,Electronics,Tablet,3,180000,Card
S10184,2025-10-20,Peter Osei,Female,United States,Clothing,Jacket,4,70000,Mobile Money
S10185,2025-05-19,Victor Chukwu,Male,Kenya,Groceries,Cereal,8,9500,Card
S10186,2025-09-30,Michael James,Female,United Kingdom,Groceries,Cereal,9,9500,Mobile Money
S10187,2025-07-24,Fatima Ibrahim,Male,United States,Clothing,Jeans,8,28000,Bank Transfer
S10188,2025-03-05,Grace Musa,Male,Kenya,Electronics,Laptop,8,450000,Card
S10189,2025-12-02,Joy Emmanuel,Female,Nigeria,Furniture,Office Chair,7,95000,Cash
S10190,2025-02-12,Sarah Ahmed,Male,Kenya,Furniture,Bookshelf,4,85000,Cash
S10191,2025-10-07,Mary Johnson,Male,Nigeria,Groceries,Rice,5,85000,Mobile Money
S10192,2025-08-02,Emeka Nwosu,Male,Nigeria,Clothing,Jacket,1,70000,Bank Transfer
S10193,2025-05-09,Peter Osei,Male,Kenya,Clothing,Jeans,4,28000,Bank Transfer
S10194,2025-02-04,Peter Osei,Female,Nigeria,Electronics,Laptop,2,450000,Mobile Money
S10195,2025-04-12,Michael James,Female,Nigeria,Electronics,Smartphone,10,280000,Bank Transfer
S10196,2025-07-17,Grace Musa,Female,Nigeria,Clothing,Jacket,9,70000,Cash
S10197,2025-09-29,Sarah Ahmed,Female,Kenya,Furniture,Table,1,120000,Bank Transfer
S10198,2025-10-16,Daniel Adeyemi,Female,Ghana,Electronics,Tablet,1,180000,Bank Transfer
S10199,2025-06-10,Anthony Brown,Male,Ghana,Groceries,Cooking Oil,2,32000,Mobile Money
S10200,2025-11-30,David Okoro,Male,Nigeria,Electronics,Tablet,6,180000,Bank Transfer
S10201,2025-04-10,David Okoro,Male,Kenya,Furniture,Table,6,120000,Cash
S10202,2025-03-16,John Williams,Female,South Africa,Groceries,Sugar,8,18000,Mobile Money
S10203,2025-02-13,Anthony Brown,Female,United Kingdom,Groceries,Cooking Oil,5,32000,Cash
S10204,2025-11-12,Emeka Nwosu,Male,United Kingdom,Furniture,Office Chair,5,95000,Bank Transfer
S10205,2025-03-29,Michael James,Female,South Africa,Electronics,Laptop,10,450000,Mobile Money
S10206,2025-12-02,Joy Emmanuel,Male,United States,Clothing,Jacket,6,70000,Mobile Money
S10207,2025-06-20,Sarah Ahmed,Female,United Kingdom,Groceries,Rice,3,85000,Cash
S10208,2025-08-02,Mary Johnson,Male,Ghana,Clothing,Jacket,6,70000,Bank Transfer
S10209,2025-07-14,Joy Emmanuel,Female,Kenya,Furniture,Office Chair,8,95000,Cash
S10210,2025-12-30,Blessing Okafor,Female,Ghana,Clothing,Sneakers,2,55000,Cash
S10211,2025-03-10,Sarah Ahmed,Male,Kenya,Clothing,Jacket,5,70000,Mobile Money
S10212,2025-12-25,Esther Eze,Male,Ghana,Clothing,Sneakers,2,55000,Mobile Money
S10213,2025-01-25,Blessing Okafor,Female,United States,Clothing,Jacket,2,70000,Bank Transfer
S10214,2025-04-04,John Williams,Male,Nigeria,Groceries,Cooking Oil,4,32000,Card
S10215,2025-01-07,John Williams,Female,South Africa,Clothing,Jacket,9,70000,Card
S10216,2025-10-21,Sarah Ahmed,Female,United Kingdom,Electronics,Laptop,7,450000,Mobile Money
S10217,2025-08-14,Grace Musa,Female,South Africa,Electronics,Smartphone,9,280000,Bank Transfer
S10218,2025-12-31,Peter Osei,Male,Nigeria,Clothing,Jeans,9,28000,Card
S10219,2025-09-15,Blessing Okafor,Male,Kenya,Groceries,Cooking Oil,9,32000,Bank Transfer
S10220,2025-06-19,Victor Chukwu,Female,Ghana,Electronics,Tablet,5,180000,Cash
S10221,2025-04-13,Emeka Nwosu,Female,United Kingdom,Clothing,Jeans,1,28000,Cash
S10222,2025-03-30,Esther Eze,Female,United Kingdom,Electronics,Laptop,1,450000,Mobile Money
S10223,2025-05-27,Samuel Obi,Female,Kenya,Groceries,Sugar,8,18000,Cash
S10224,2025-02-18,Peter Osei,Female,South Africa,Electronics,Smartphone,4,280000,Bank Transfer
S10225,2025-04-18,John Williams,Female,Ghana,Clothing,Sneakers,6,55000,Cash
S10226,2025-08-27,Daniel Adeyemi,Female,South Africa,Groceries,Cooking Oil,4,32000,Card
S10227,2025-04-08,Sarah Ahmed,Female,Ghana,Electronics,Laptop,3,450000,Bank Transfer
S10228,2025-12-27,Anthony Brown,Female,South Africa,Groceries,Cooking Oil,5,32000,Mobile Money
S10229,2025-05-03,Hauwa Sule,Female,Ghana,Electronics,Laptop,4,450000,Bank Transfer
S10230,2025-02-07,Anthony Brown,Female,Kenya,Electronics,Laptop,9,450000,Cash
S10231,2025-06-21,Fatima Ibrahim,Female,South Africa,Electronics,Headphones,6,45000,Cash
S10232,2025-04-09,John Williams,Female,Nigeria,Furniture,Office Chair,7,95000,Mobile Money
S10233,2025-02-21,Daniel Adeyemi,Female,Kenya,Groceries,Rice,6,85000,Bank Transfer
S10234,2025-04-05,Sarah Ahmed,Male,Nigeria,Clothing,Jeans,1,28000,Card
S10235,2025-08-31,Joy Emmanuel,Male,United Kingdom,Groceries,Cereal,9,9500,Card
S10236,2025-10-18,Sarah Ahmed,Female,United Kingdom,Groceries,Sugar,6,18000,Mobile Money
S10237,2025-03-16,John Williams,Female,United States,Groceries,Cereal,2,9500,Mobile Money
S10238,2025-09-24,Fatima Ibrahim,Male,United States,Groceries,Rice,1,85000,Mobile Money
S10239,2025-03-07,Samuel Obi,Male,United Kingdom,Clothing,Jacket,2,70000,Card
S10240,2025-09-12,Peter Osei,Male,South Africa,Electronics,Headphones,4,45000,Mobile Money
S10241,2025-02-09,Hauwa Sule,Male,United Kingdom,Furniture,Office Chair,6,95000,Mobile Money
S10242,2025-07-18,Joy Emmanuel,Female,United Kingdom,Furniture,Bookshelf,6,85000,Bank Transfer
S10243,2025-05-05,Fatima Ibrahim,Female,Ghana,Furniture,Desk,5,150000,Bank Transfer
S10244,2025-09-15,Anthony Brown,Female,United Kingdom,Clothing,,5,70000,Bank Transfer
S10245,2025-11-24,John Williams,Male,Kenya,Electronics,Headphones,1,45000,Bank Transfer
S10246,2025-10-01,Fatima Ibrahim,Female,Ghana,Electronics,Tablet,4,180000,Bank Transfer
S10247,2025-01-31,Emeka Nwosu,Male,Ghana,Groceries,Cooking Oil,1,32000,Card
S10248,2025-08-21,Peter Osei,Female,United States,Clothing,T-Shirt,8,12000,Cash
S10249,2025-03-14,Peter Osei,Female,South Africa,Clothing,T-Shirt,4,12000,Bank Transfer
S10250,2025-03-29,Grace Musa,Male,United Kingdom,Groceries,Sugar,1,18000,Card
S10251,2025-08-23,Sarah Ahmed,Female,Ghana,Furniture,Desk,5,150000,Cash
S10252,2025-09-05,Blessing Okafor,Female,South Africa,Electronics,Tablet,9,180000,Mobile Money
S10253,2025-04-07,Esther Eze,Male,Kenya,Clothing,Jacket,3,70000,Mobile Money
S10254,2025-11-28,Blessing Okafor,Female,United Kingdom,Groceries,Cooking Oil,4,32000,Card
S10255,2025-02-17,Blessing Okafor,Male,South Africa,Furniture,Table,2,120000,Card
S10256,2025-04-19,Samuel Obi,Male,Kenya,Clothing,Jacket,7,70000,Card
S10257,2025-12-29,Michael James,Male,Kenya,Furniture,Bookshelf,6,85000,Card
S10258,2025-10-17,Michael James,Male,South Africa,Electronics,Laptop,9,450000,Bank Transfer
S10259,2025-11-30,Emeka Nwosu,Male,Ghana,Electronics,Tablet,3,180000,Mobile Money
S10260,2025-06-01,Peter Osei,Female,United Kingdom,Clothing,Jacket,4,70000,Card
S10261,2025-09-23,John Williams,Male,United Kingdom,Electronics,Headphones,2,45000,Cash
S10262,2025-02-04,Blessing Okafor,Female,Nigeria,Clothing,Jeans,4,28000,Mobile Money
S10263,2025-04-26,Joy Emmanuel,Male,United Kingdom,Electronics,Headphones,7,45000,Mobile Money
S10264,2025-04-17,Aisha Bello,Female,Kenya,Electronics,Headphones,1,45000,Card
S10265,2025-10-18,John Williams,Male,United Kingdom,Electronics,Laptop,1,450000,Cash
S10266,2025-12-15,Peter Osei,Male,Ghana,Furniture,Office Chair,7,95000,Bank Transfer
S10267,2025-08-25,Sarah Ahmed,Male,United States,Furniture,Table,9,120000,Card
S10268,2025-01-09,Victor Chukwu,Female,United Kingdom,Groceries,Rice,3,85000,Card
S10269,2025-03-28,Joy Emmanuel,Female,United Kingdom,Electronics,Laptop,7,450000,Card
S10270,2025-07-17,Mary Johnson,Female,Ghana,Clothing,Jacket,2,70000,Cash
S10271,2025-10-25,Esther Eze,Male,Nigeria,Furniture,Office Chair,10,95000,Cash
S10272,2025-10-18,David Okoro,Female,South Africa,Furniture,Office Chair,4,95000,Card
S10273,2025-05-30,Michael James,Male,United States,Electronics,Smartphone,10,280000,Bank Transfer
S10274,2025-08-18,Mary Johnson,Male,South Africa,Groceries,Cooking Oil,5,32000,Bank Transfer
S10275,2025-01-26,Victor Chukwu,Female,Nigeria,Electronics,Smartphone,6,280000,Mobile Money
S10276,2025-12-24,Mary Johnson,Female,South Africa,Groceries,Cereal,3,9500,Mobile Money
S10277,2025-04-10,Mary Johnson,Female,Nigeria,Clothing,Jeans,9,28000,Mobile Money
S10278,2025-07-18,Samuel Obi,Female,Ghana,Furniture,Desk,6,150000,Cash
S10279,2025-11-25,Victor Chukwu,Male,Nigeria,Furniture,Bookshelf,5,85000,Mobile Money
S10280,2025-03-24,Ruth Adams,Male,South Africa,Electronics,Laptop,4,450000,Bank Transfer
S10281,2025-10-18,Esther Eze,Male,United States,Groceries,Rice,8,85000,Card
S10282,2025-10-26,Victor Chukwu,Female,Kenya,Clothing,Jacket,7,70000,Mobile Money
S10283,2025-04-08,John Williams,Female,South Africa,Groceries,Sugar,2,18000,Mobile Money
S10284,2025-05-16,Blessing Okafor,Female,Nigeria,Groceries,Cooking Oil,10,32000,Card
S10285,2025-02-12,Victor Chukwu,Female,Kenya,Clothing,T-Shirt,3,12000,Card
S10286,2025-05-11,Ruth Adams,Male,South Africa,Groceries,Cooking Oil,9,32000,Bank Transfer
S10287,2025-01-21,Joy Emmanuel,Male,United States,Groceries,Cereal,6,9500,Card
S10288,2025-08-09,Victor Chukwu,Male,United Kingdom,Clothing,Jacket,1,70000,Cash
